current_stem	target_stem	date	slug	confidence	notes
telegram_mmirleb_17429_direct_17431	2026-06-08_soldiers_gathering_naqoura_mmirleb_17431	2026-06-08	soldiers_gathering_naqoura	medium	official @mmirleb low-quality direct MP4 post 17431 matched high-quality candidate post 17429 with score 1.00; Arabic: تجمّع لجنود جيش العدو الإسرائيلي في بلدة الناقورة جنوبيّ لبنان بمسيّرات انقضاضيّة
telegram_mmirleb_17504_direct_17506	2026-06-06_artillery_vehicle_adaissah_mmirleb_17506	2026-06-06	artillery_vehicle_adaissah	medium	official @mmirleb low-quality direct MP4 post 17506 matched high-quality candidate post 17504 with score 1.00; Arabic: آلية مدفعيّة تابعة لجيش العدو الإسرائيلي في بلدة العديسة جنوبيّ لبنان
telegram_mmirleb_17315_direct_17317	2026-06-05_soldiers_khiam_mmirleb_17317	2026-06-05	soldiers_khiam	medium	official @mmirleb low-quality direct MP4 post 17317 matched high-quality candidate post 17315 with score 1.00; Arabic: جنود جيش العدو الإسرائيلي في مدينة الخيام جنوبيّ لبنان
telegram_mmirleb_17447_direct_17449	2026-06-05_merkava_tank_beaufort_castle_mmirleb_17449	2026-06-05	merkava_tank_beaufort_castle	medium	official @mmirleb low-quality direct MP4 post 17449 matched high-quality candidate post 17447 with score 1.00; Arabic: دبّابة ميركافا تابعة لجيش العدو الإسرائيلي في محيط قلعة الشقيف التاريخيّة جنوبيّ لبنان
telegram_mmirleb_17060_direct_17062	2026-05-30_technical_equipment_rashaf_mmirleb_17062	2026-05-30	technical_equipment_rashaf	medium	official @mmirleb low-quality direct MP4 post 17062 matched high-quality candidate post 17060 with score 1.00; Arabic: تجهيزات فنيّة تابعة لجيش العدو الإسرائيلي في بلدة رشاف جنوبي لبنان
telegram_mmirleb_16993_direct_16995	2026-05-28_iron_dome_launcher_vehicle_khiam_mmirleb_16995	2026-05-28	iron_dome_launcher_vehicle_khiam	medium	official @mmirleb low-quality direct MP4 post 16995 matched high-quality candidate post 16993 with score 1.00; Arabic: آلية لانشر قبة حديديّة تابعة لجيش العدو الإسرائيلي في مدينة الخيام جنوبيّ لبنان
telegram_mmirleb_17154_direct_17156	2026-05-28_merkava_tank_zawtar_al_sharqiyah_mmirleb_17156	2026-05-28	merkava_tank_zawtar_al_sharqiyah	medium	official @mmirleb low-quality direct MP4 post 17156 matched high-quality candidate post 17154 with score 1.00; Arabic: دبّابة ميركافا تابعة لجيش العدو الإسرائيلي عند الأطراف الجنوبيّة لبلدة زوطر الشرقية جنوبيّ لبنان
telegram_mmirleb_16895_direct_16897	2026-05-27_target_galilee_forest_mmirleb_16897	2026-05-27	target_galilee_forest	medium	official @mmirleb low-quality direct MP4 post 16897 matched high-quality candidate post 16895 with score 1.00; Arabic: آلية تابعة لجيش العدو الإسرائيلي في معسكر غابات الجليل شمال فلسطين المحتلّة
telegram_mmirleb_17068_direct_17070	2026-05-26_humvee_zawtar_al_sharqiyah_riverbed_mmirleb_17070	2026-05-26	humvee_zawtar_al_sharqiyah_riverbed	medium	official @mmirleb low-quality direct MP4 post 17070 matched high-quality candidate post 17068 with score 1.00; Arabic: آلية هامر تابعة لجيش العدو الإسرائيلي عند مجرى النهر في محيط بلدة زوطر الشرقيّة جنوبيّ لبنان
telegram_mmirleb_17143_direct_17145	2026-05-26_d9_bulldozer_zawtar_al_sharqiyah_mmirleb_17145	2026-05-26	d9_bulldozer_zawtar_al_sharqiyah	medium	official @mmirleb low-quality direct MP4 post 17145 matched high-quality candidate post 17143 with score 1.00; Arabic: جرّافة (D9) تابعة لجيش العدو الإسرائيلي عند الأطراف الجنوبيّة الشرقيّة لبلدة زوطر الشرقية جنوبيّ لبنان
telegram_mmirleb_16823_direct_16825	2026-05-24_humvee_manara_mmirleb_16825	2026-05-24	humvee_manara	medium	official @mmirleb low-quality direct MP4 post 16825 matched high-quality candidate post 16823 with score 1.00; Arabic: آلية هامر قيادية تابعة لجيش العدو الإسرائيلي في في موقع المنارة على الحدود اللبنانية الجنوبية
telegram_mmirleb_16395_direct_16397	2026-05-19_iron_dome_platform_jal_al_alam_mmirleb_16397	2026-05-19	iron_dome_platform_jal_al_alam	medium	official @mmirleb low-quality direct MP4 post 16397 matched high-quality candidate post 16395 with score 1.00; Arabic: منصّة قبّة حديديّة تابعة لجيش العدو الإسرائيلي في موقع جل العلام على الحدود اللبنانيّة الجنوبيّة
telegram_mmirleb_16552_direct_16554	2026-05-19_communications_vehicle_taybeh_mmirleb_16554	2026-05-19	communications_vehicle_taybeh	medium	official @mmirleb low-quality direct MP4 post 16554 matched high-quality candidate post 16552 with score 1.00; Arabic: آلية اتصالات تابعة لجيش العدو الإسرائيلي في بلدة الطيبة جنوبيّ لبنان
telegram_mmirleb_16767_direct_16769	2026-05-19_engineering_vehicle_khiam_mmirleb_16769	2026-05-19	engineering_vehicle_khiam	medium	official @mmirleb low-quality direct MP4 post 16769 matched high-quality candidate post 16767 with score 1.00; Arabic: آلية هندسيّة تابعة لجيش العدو الإسرائيلي في مدينة الخيام جنوبيّ لبنان
telegram_mmirleb_16516_direct_16518	2026-05-18_brigade_300_commander_vehicle_shomera_mmirleb_16518	2026-05-18	brigade_300_commander_vehicle_shomera	medium	official @mmirleb low-quality direct MP4 post 16518 matched high-quality candidate post 16516 with score 1.00; Arabic: آلية قائد اللواء 300 التابع لجيش العدو الإسرائيلي داخل ثكنة شوميرا في مستوطنة شوميرا شمال فلسطين المحتلة
telegram_mmirleb_16558_direct_16560	2026-05-18_engineering_vehicle_deir_siryan_khallet_al_raj_mmirleb_16560	2026-05-18	engineering_vehicle_deir_siryan_khallet_al_raj	medium	official @mmirleb low-quality direct MP4 post 16560 matched high-quality candidate post 16558 with score 1.00; Arabic: آلية هندسيّة تابعة لجيش العدو الإسرائيلي عند خلة الراج في بلدة دير سريان جنوبيّ لبنان
telegram_mmirleb_16413_direct_16415	2026-05-17_logistics_position_bayyadah_iskandarounah_mmirleb_16415	2026-05-17	logistics_position_bayyadah_iskandarounah	medium	official @mmirleb low-quality direct MP4 post 16415 matched high-quality candidate post 16413 with score 1.00; Arabic: تموضع لوجستي تابع لجيش العدو الإسرائيلي في اسكندرونة ببلدة البيّاضة جنوبيّ لبنان
telegram_mmirleb_16443_direct_16445	2026-05-17_military_vehicle_bayyadah_iskandarounah_mmirleb_16445	2026-05-17	military_vehicle_bayyadah_iskandarounah	medium	official @mmirleb low-quality direct MP4 post 16445 matched high-quality candidate post 16443 with score 1.00; Arabic: آلية عسكرية تابعة لجيش العدو الإسرائيلي في اسكندرونة ببلدة البيّاضة جنوبيّ لبنان
telegram_mmirleb_16319_direct_16320	2026-05-16_engineering_vehicle_deir_siryan_khallet_al_raj_mmirleb_16320	2026-05-16	engineering_vehicle_deir_siryan_khallet_al_raj	medium	official @mmirleb low-quality direct MP4 post 16320 matched high-quality candidate post 16319 with score 1.00; Arabic: آلية هندسيّة تابعة لجيش العدو الإسرائيلي عند خلّة الراج في بلدة دير سريان جنوبيّ لبنان
telegram_mmirleb_16351_direct_16353	2026-05-16_merkava_tank_bayyadah_mmirleb_16353	2026-05-16	merkava_tank_bayyadah	medium	official @mmirleb low-quality direct MP4 post 16353 matched high-quality candidate post 16351 with score 1.00; Arabic: دبّابة ميركافا تابعة لجيش العدو الإسرائيلي في بلدة البيّاضة جنوبيّ لبنان
telegram_mmirleb_16531_direct_16533	2026-05-16_namer_vehicle_taybeh_mmirleb_16533	2026-05-16	namer_vehicle_taybeh	medium	official @mmirleb low-quality direct MP4 post 16533 matched high-quality candidate post 16531 with score 0.80; Arabic: آلية "نميرا" تابعة لجيش العدو الإسرائيلي في بلدة الطيبة جنوبيّ لبنان
telegram_mmirleb_16301_direct_16303	2026-05-15_personnel_carrier_deir_siryan_khallet_al_raj_mmirleb_16303	2026-05-15	personnel_carrier_deir_siryan_khallet_al_raj	medium	official @mmirleb low-quality direct MP4 post 16303 matched high-quality candidate post 16301 with score 1.00; Arabic: ناقلة جند تابعة لجيش العدو الإسرائيلي عند خلّة الراج في بلدة دير سريان جنوبيّ لبنان
telegram_mmirleb_16285_direct_16287	2026-05-14_wireless_communications_system_blat_mmirleb_16287	2026-05-14	wireless_communications_system_blat	medium	official @mmirleb low-quality direct MP4 post 16287 matched high-quality candidate post 16285 with score 1.00; Arabic: منظومة اتصالات لاسلكيّة تابعة لجيش العدو الإسرائيلي في موقع بلاط المُستَحدَث مقابل بلدة رامية جنوبيّ لبنان
telegram_mmirleb_16294_direct_16295	2026-05-14_soldiers_gathering_naqoura_ras_naqoura_mmirleb_16295	2026-05-14	soldiers_gathering_naqoura_ras_naqoura	medium	official @mmirleb low-quality direct MP4 post 16295 matched high-quality candidate post 16294 with score 1.00; Arabic: تجمّع لجنود جيش العدو الإسرائيلي في موقع رأس الناقورة العسكري جنوب لبنان
telegram_mmirleb_16312_direct_16314	2026-05-14_namer_vehicle_rashaf_mmirleb_16314	2026-05-14	namer_vehicle_rashaf	medium	official @mmirleb low-quality direct MP4 post 16314 matched high-quality candidate post 16312 with score 0.80; Arabic: آلية "نميرا" تابعة لجيش العدو الإسرائيلي في بلدة رشاف جنوبيّ لبنان
telegram_mmirleb_16337_direct_16339	2026-05-14_humvee_tayr_harfa_mmirleb_16339	2026-05-14	humvee_tayr_harfa	medium	official @mmirleb low-quality direct MP4 post 16339 matched high-quality candidate post 16337 with score 1.00; Arabic: هامر عسكري تابع لجيش العدو الإسرائيلي في بلدة طيرحرفا جنوبيّ لبنان
telegram_mmirleb_16106_direct_16108	2026-05-12_merkava_tank_manara_khirbet_al_manara_mmirleb_16108	2026-05-12	merkava_tank_manara_khirbet_al_manara	medium	official @mmirleb low-quality direct MP4 post 16108 matched high-quality candidate post 16106 with score 1.00; Arabic: دبّابة ميركافا تابعة لجيش العدو الإسرائيلي في محيط موقع خربة المنارة على الحدود الجنوبيّة اللبنانيّة
telegram_mmirleb_16118_direct_16120	2026-05-12_soldier_manara_khirbet_al_manara_mmirleb_16120	2026-05-12	soldier_manara_khirbet_al_manara	medium	official @mmirleb low-quality direct MP4 post 16120 matched high-quality candidate post 16118 with score 1.00; Arabic: جندي من جيش العدو الإسرائيلي في محيط موقع خربة المنارة على الحدود الجنوبية اللبنانية
telegram_mmirleb_16261_direct_16263	2026-05-12_humvee_naqoura_naqoura_iskandarounah_road_mmirleb_16263	2026-05-12	humvee_naqoura_naqoura_iskandarounah_road	medium	official @mmirleb low-quality direct MP4 post 16263 matched high-quality candidate post 16261 with score 0.86; Arabic: آلية "هامفي" تابعة لجيش العدو الإسرائيلي على طريق الناقورة - الإسكندرون جنوبي لبنان
telegram_mmirleb_16035_direct_16037	2026-05-10_headquarters_bayyadah_mmirleb_16037	2026-05-10	headquarters_bayyadah	medium	official @mmirleb low-quality direct MP4 post 16037 matched high-quality candidate post 16035 with score 1.00; Arabic: المقر المُستَحدَث لجيش العدو الإسرائيلي في بلدة البيّاضة جنوبي لبنان
telegram_mmirleb_16056_direct_16058	2026-05-10_soldiers_position_house_tayr_harfa_mmirleb_16058	2026-05-10	soldiers_position_house_tayr_harfa	medium	official @mmirleb low-quality direct MP4 post 16058 matched high-quality candidate post 16056 with score 1.00; Arabic: منزل يتموضع فيه جنود جيش العدو الإسرائيلي في بلدة طير حرفا جنوبيّ لبنان
telegram_mmirleb_15970_direct_15972	2026-05-09_soldiers_gathering_shlomi_mmirleb_15972	2026-05-09	soldiers_gathering_shlomi	medium	official @mmirleb low-quality direct MP4 post 15972 matched high-quality candidate post 15970 with score 1.00; Arabic: تجمّع لجنود جيش العدو الإسرائيلي في مهبط مروحيات في مستوطنة شلومي شمال فلسطين المحتلّة
telegram_mmirleb_15988_direct_15990	2026-05-09_soldiers_gathering_jal_al_alam_mmirleb_15990	2026-05-09	soldiers_gathering_jal_al_alam	medium	official @mmirleb low-quality direct MP4 post 15990 matched high-quality candidate post 15988 with score 1.00; Arabic: تجمّع لجنود جيش العدو الإسرائيلي في موقع جلّ العلام على الحدود اللبنانية الفلسطينية
telegram_mmirleb_16065_direct_16067	2026-05-09_tent_deir_siryan_khallet_al_raj_mmirleb_16067	2026-05-09	tent_deir_siryan_khallet_al_raj	medium	official @mmirleb low-quality direct MP4 post 16067 matched high-quality candidate post 16065 with score 1.00; Arabic: خيمة مُستَحدَثة لجيش العدو الإسرائيلي عند خلّة الراج في بلدة دير سريان جنوبي لبنان
telegram_mmirleb_16093_direct_16095	2026-05-09_humvee_bayyadah_mmirleb_16095	2026-05-09	humvee_bayyadah	medium	official @mmirleb low-quality direct MP4 post 16095 matched high-quality candidate post 16093 with score 0.83; Arabic: آلية "هامفي" اتصالات تابعة لجيش العدو الإسرائيلي في بلدة البيّاضة جنوبي لبنان
telegram_mmirleb_16168_direct_16170	2026-05-09_soldiers_deir_siryan_mmirleb_16170	2026-05-09	soldiers_deir_siryan	medium	official @mmirleb low-quality direct MP4 post 16170 matched high-quality candidate post 16168 with score 1.00; Arabic: جنود من جيش العدو الإسرائيلي في محيط بلدة دير سريان جنوبيّ لبنان
telegram_mmirleb_16249_direct_16251	2026-05-09_target_deir_siryan_khallet_al_raj_mmirleb_16251	2026-05-09	target_deir_siryan_khallet_al_raj	medium	official @mmirleb low-quality direct MP4 post 16251 matched high-quality candidate post 16249 with score 1.00; Arabic: جرّافة تابعة لجيش العدو الإسرائيلي عند خلّة الراج في بلدة دير سريان جنوبيّ لبنان
telegram_mmirleb_16048_direct_16050	2026-05-08_humvee_bayyadah_mmirleb_16050	2026-05-08	humvee_bayyadah	medium	official @mmirleb low-quality direct MP4 post 16050 matched high-quality candidate post 16048 with score 0.80; Arabic: آلية "هامفي" تابعة لجيش العدو الإسرائيلي في بلدة البيّاضة جنوبي لبنان
telegram_mmirleb_15841_direct_15843	2026-05-06_soldiers_gathering_aita_al_shaab_mmirleb_15843	2026-05-06	soldiers_gathering_aita_al_shaab	medium	official @mmirleb low-quality direct MP4 post 15843 matched high-quality candidate post 15841 with score 0.86; Arabic: تجمّع لجنود جيش العدو الإسرائيلي في بلدة عيتا الشعب جنوبي لبنان بمسيّرة انقضاضيّة
telegram_mmirleb_16210_direct_16212	2026-05-06_position_point_taybeh_mmirleb_16212	2026-05-06	position_point_taybeh	medium	official @mmirleb low-quality direct MP4 post 16212 matched high-quality candidate post 16210 with score 1.00; Arabic: نقطة تموضع تابعة لجيش العدو الإسرائيلي في بلدة الطيبة جنوبيّ لبنان
telegram_mmirleb_16347_direct_16349	2026-05-06_d9_engineering_vehicle_houla_mmirleb_16349	2026-05-06	d9_engineering_vehicle_houla	medium	official @mmirleb low-quality direct MP4 post 16349 matched high-quality candidate post 16347 with score 1.00; Arabic: آلية هندسية (D9) تابعة لجيش العدو الإسرائيلي في بلدة حولا جنوبيّ لبنان
telegram_mmirleb_16528_direct_16530	2026-05-04_hemtt_logistics_vehicle_manara_mmirleb_16530	2026-05-04	hemtt_logistics_vehicle_manara	medium	official @mmirleb low-quality direct MP4 post 16530 matched high-quality candidate post 16528 with score 0.90; Arabic: آلية لوجستية "هيمت" تابعة لجيش العدو الإسرائيلي في موقع المنارة على الحدود اللبنانية الجنوبية
telegram_mmirleb_16007_direct_16009	2026-05-03_company_commander_tank_bayyadah_mmirleb_16009	2026-05-03	company_commander_tank_bayyadah	medium	official @mmirleb low-quality direct MP4 post 16009 matched high-quality candidate post 16007 with score 1.00; Arabic: دبّابة آمر سرية مدرعات في جيش العدو الإسرائيلي في بلدة البيّاضة جنوبي لبنان
telegram_mmirleb_15898_direct_15900	2026-05-01_namer_vehicle_bint_jbeil_mmirleb_15900	2026-05-01	namer_vehicle_bint_jbeil	medium	official @mmirleb low-quality direct MP4 post 15900 matched high-quality candidate post 15898 with score 0.83; Arabic: آلية "نميرا" تابعة لجيش العدو الإسرائيلي في مدينة بنت جبيل جنوبي لبنان
telegram_mmirleb_15950_direct_15952	2026-05-01_merkava_tank_rashaf_mmirleb_15952	2026-05-01	merkava_tank_rashaf	medium	official @mmirleb low-quality direct MP4 post 15952 matched high-quality candidate post 15950 with score 1.00; Arabic: دبّابة ميركافا تابعة لجيش العدو الإسرائيلي في بلدة رشاف جنوبي لبنان
telegram_mmirleb_17408_direct_17410	2026-06-09_401_brigade_hq_debel	2026-06-09	401_brigade_hq_debel	medium	official @mmirleb low-quality direct MP4 post 17410 reviewed by opening banner and compared with same-day dataset entries; Arabic: المقر المستحدث للواء المدرعات (401) التابع لجيش العدو الإسرائيلي في بلدة دبل جنوبيّ لبنان بسربٍ من المسيّرات الانقضاضيّة
telegram_mmirleb_16701_direct_16703	2026-05-26_vehicle_and_soldier_gatherings_biranit	2026-05-26	vehicle_and_soldier_gatherings_biranit	medium	official @mmirleb low-quality direct MP4 post 16703 reviewed by opening banner and compared with same-day dataset entries; Arabic: تجمعات آليات وجنود جيش العدو الإسرائيلي في ثكنة بيرانيت شمال فلسطين المحتلة بسربٍ من المسيّرات الانقضاضيّة
telegram_mmirleb_15815_direct_15817	2026-05-01_vehicle_and_soldier_gathering_bayyadah	2026-05-01	vehicle_and_soldier_gathering_bayyadah	medium	official @mmirleb low-quality direct MP4 post 15817 reviewed by opening banner and compared with same-day dataset entries; Arabic: تجمّع لآليات وجنود جيش العدو الإسرائيلي في بلدة البيّاضة جنوبي لبنان بسربٍ من المسيّرات الانقضاضيّة
telegram_mmirleb_16608_direct_16610	2026-05-23_soldier_gathering_bayyadah	2026-05-23	soldier_gathering_bayyadah	medium	official @mmirleb low-quality direct MP4 post 16610 reviewed by opening banner and compared with same-day dataset entries; Arabic: ⭕️بالفيديو | مشاهد من عملية استهداف المقاومة الإسلامية بتاريخ السبت 23-05-2026 تجمّع لجنود جيش العدو الإسرائيلي في بلدة البيّاضة جنوبيّ لبنان بمحلّقة الانقضاضيّة.
telegram_mmirleb_17492_direct_17494	2026-06-03_personnel_carrier_zawtar_al_sharqiyah_mmirleb_17494	2026-06-03	personnel_carrier_zawtar_al_sharqiyah	medium	approved by Itamar from DUP-001; official @mmirleb public MP4 post 17494 matched high-quality candidate post 17492; Arabic: ناقلة جند تابعة لجيش العدو الإسرائيلي في الأطراف الجنوبية لبلدة زوطر الشرقية جنوبيّ لبنان
telegram_mmirleb_17521_direct_17523	2026-06-03_personnel_carrier_zawtar_al_sharqiyah_mmirleb_17523	2026-06-03	personnel_carrier_zawtar_al_sharqiyah	medium	approved by Itamar from DUP-003; official @mmirleb public MP4 post 17523 matched high-quality candidate post 17521; Arabic: ناقلة جند تابعة لجيش العدو الإسرائيلي في الأطراف الجنوبيّة لبلدة زوطر الشرقيّة جنوبيّ لبنان
telegram_mmirleb_16051_direct_16053	2026-05-08_merkava_tank_bayyadah_mmirleb_16053	2026-05-08	merkava_tank_bayyadah	medium	approved by Itamar from DUP-013; official @mmirleb public MP4 post 16053 matched high-quality candidate post 16051; Arabic: دبّابة ميركافا تابعة لجيش العدو الإسرائيلي في بلدة البيّاضة جنوبيّ لبنان
telegram_mmirleb_16697_direct_16699	2026-05-19_iron_dome_platform_misgav_am_mmirleb_16699	2026-05-19	iron_dome_platform_misgav_am	medium	approved by Itamar from DUP-007; official @mmirleb public MP4 post 16699 matched high-quality candidate post 16697; candidate is an Iron Dome platform near/in Misgav Am, distinct from generic military vehicle entry
telegram_mmirleb_16493_direct_16495	2026-05-14_merkava_tank_bint_jbeil_mmirleb_16495	2026-05-14	merkava_tank_bint_jbeil	medium	approved by Itamar from DUP-009; official @mmirleb public MP4 post 16495 matched high-quality candidate post 16493; candidate is a Merkava tank in Bint Jbeil, distinct from military tanker entry
telegram_mmirleb_17580	2026-06-13_command_center_beaufort_castle_mmirleb_17580	2026-06-13	command_center_beaufort_castle	high	official @mmirleb high-quality Telegram Web download post 17580, replacing lower-quality public/direct post 17582; official @mmirleb low-quality direct MP4 post 17582 matched high-quality candidate post 17580; Arabic: مركز قيادي مُستَحدث تابع لجيش العدو الإسرائيلي في محيط قلعة الشقيف التاريخيّة جنوبيّ لبنان
telegram_mmirleb_17586_direct_17588	2026-06-13_namer_vehicle_hamammas_hill_khiam_mmirleb_17588	2026-06-13	namer_vehicle_hamammas_hill_khiam	medium	official @mmirleb low-quality direct MP4 post 17588 matched high-quality candidate post 17586; Arabic: ناقلة جند "نميرا" تابعة لجيش العدو الإسرائيلي في موقع مرتفع الحمامص المُستَحدث مقابل بلدة الخيام جنوبيّ لبنان
telegram_mmirleb_17590	2026-06-17_force_position_kfar_tebnit_mmirleb_17590	2026-06-17	force_position_kfar_tebnit	high	official @mmirleb high-quality Telegram Web download post 17590, replacing lower-quality public/direct post 17592; official @mmirleb low-quality direct MP4 post 17592 matched high-quality candidate post 17590; Arabic: تموضع قوة تابعة لجيش العدو الإسرائيلي في أطراف بلدة كفرتبنيت جنوبيّ لبنان
telegram_mmirleb_17595	2026-06-12_merkava_tank_beaufort_castle_mmirleb_17595	2026-06-12	merkava_tank_beaufort_castle	high	official @mmirleb high-quality Telegram Web download post 17595, replacing lower-quality public/direct post 17597; official @mmirleb low-quality direct MP4 post 17597 matched high-quality candidate post 17595; Arabic: دبّابة ميركافا تابعة لجيش العدو الإسرائيلي في محيط قلعة الشقيف التاريخيّة جنوبيّ لبنان
telegram_mmirleb_17598	2026-06-11_d9_engineering_vehicle_beaufort_castle_mmirleb_17598	2026-06-11	d9_engineering_vehicle_beaufort_castle	high	official @mmirleb high-quality Telegram Web download post 17598; Arabic: آلية هندسيّة (D9) تابعة لجيش العدو الإسرائيلي في محيط قلعة الشقيف التاريخيّة جنوبيّ لبنان
telegram_mmirleb_17602	2026-06-11_israeli_soldiers_adaissah_mmirleb_17602	2026-06-11	israeli_soldiers_adaissah	high	official @mmirleb high-quality Telegram Web download post 17602, replacing temporary low-quality public MP4 post 17604; Arabic: جنود جيش العدو الإسرائيلي في بلدة العديسة جنوبيّ لبنان
